Rank,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
385,Ray Felix,1954,1962,637,23.8,10.9,8.9,0.7,,,.412,,.678,39.6,.125,felixra01
386,Kevin Loughery,1963,1973,755,29.4,15.3,3.0,3.7,,,.413,,.803,29.8,.064,loughke01
387,Dick Garmaker,1956,1961,421,28.9,13.3,4.2,2.6,,,.403,,.787,25.6,.101,garmadi01
388,Lloyd Neal,1973,1979,435,25.3,11.1,7.7,1.5,0.5,0.9,.485,,.672,22.7,.099,nealll01
389,Lonnie Shelton,1977,1986,673,27.5,12.0,6.1,2.2,1.1,0.8,.492,.097,.738,37.5,.097,sheltlo01
390,Larry Smith,1981,1993,883,25.9,6.7,9.2,1.1,0.8,0.5,.531,.000,.531,46.0,.096,smithla01
391,Pooh Richardson,1990,1999,639,30.4,11.1,2.8,6.5,1.3,0.2,.444,.329,.652,26.7,.066,richapo01
392,Nate McMillan,1987,1998,796,25.7,5.9,4.0,6.1,1.9,0.4,.443,.343,.650,50.2,.118,mcmilna01
393,Corey Maggette,2000,2013,827,28.2,16.0,4.9,2.1,0.7,0.2,.453,.324,.822,62.2,.128,maggeco01
394,Junior Bridgeman,1976,1987,849,25.0,13.6,3.5,2.4,0.8,0.3,.475,.244,.846,45.0,.102,bridgju01
395,M.L. Carr,1977,1985,604,23.5,9.7,4.3,1.8,1.3,0.4,.470,.256,.746,29.0,.098,carrml01
396,Woody Sauldsberry,1958,1966,462,27.7,10.7,7.8,1.1,,,.348,,.610,-10.7,-0.040,sauldwo01
397,Steve Johnson,1982,1991,626,21.8,11.7,5.5,1.2,0.5,0.8,.572,.000,.634,26.9,.095,johnsst03
398,Jim Washington,1966,1976,774,29.3,10.6,8.6,1.4,0.5,0.6,.449,,.705,39.3,.083,washiji01
399,Vernon Maxwell,1989,2001,855,28.4,12.8,2.6,3.4,1.1,0.2,.398,.320,.733,27.4,.054,maxweve01
400,Michael Cage,1985,2000,1140,26.1,7.3,7.6,0.9,0.9,0.6,.515,.000,.664,74.4,.120,cagemi01
401,Quentin Richardson,2001,2013,783,26.5,10.3,4.7,1.5,0.8,0.2,.397,.355,.718,32.8,.076,richaqu01
402,Kermit Washington,1974,1988,507,25.3,9.2,8.3,1.4,0.8,1.1,.526,.000,.656,36.0,.135,washike01
403,Derrick McKey,1988,2002,937,29.1,11.0,4.7,2.4,1.1,0.7,.486,.316,.779,61.8,.109,mckeyde01
404,Keith Van Horn,1998,2006,575,31.6,16.0,6.8,1.6,0.8,0.5,.443,.361,.835,41.7,.110,vanhoke01
405,Cedric Ceballos,1991,2001,609,24.2,14.3,5.3,1.2,0.7,0.3,.500,.309,.753,40.4,.132,cebalce01
406,Michael Brooks,1981,1988,319,29.4,12.8,6.3,2.6,1.2,0.4,.486,.152,.714,16.5,.085,brookmi01
407,Dale Davis,1992,2007,1094,27.1,8.0,7.9,0.9,0.6,1.2,.530,.000,.562,86.9,.141,davisda01
408,Antonio Davis,1994,2006,903,28.9,10.0,7.5,1.1,0.5,1.0,.448,.087,.727,59.6,.110,davisan01
